Order_ID,Order_Date,Region,Segment,Category,Product,Quantity,Sales,Profit
62,2024-05-21,West,Home Office,Office Supplies,Binder,2,1037.68,266.75
63,2024-03-11,South,Consumer,Furniture,Table,2,844.96,225.59
64,2024-04-12,Central,Corporate,Furniture,Filing Cabinet,9,926.73,173.96
65,2024-03-12,West,Home Office,Technology,Mouse,4,1295.01,103.64
66,2024-10-14,West,Corporate,Office Supplies,Storage Box,4,671.01,124.42
67,2023-10-06,East,Consumer,Office Supplies,Pen,3,243.23,12.94
68,2024-12-24,South,Corporate,Furniture,Chair,1,509.7,44.02
69,2023-07-31,East,Home Office,Office Supplies,Storage Box,6,582.96,-56.92
70,2023-11-02,West,Corporate,Office Supplies,Storage Box,1,344.74,25.63
71,2024-02-03,West,Corporate,Office Supplies,Storage Box,9,1380.92,403.63
72,2023-01-28,East,Home Office,Office Supplies,Paper,3,654.35,161.45
73,2023-02-21,Central,Consumer,Office Supplies,Storage Box,7,692.96,24.25
74,2023-10-12,East,Corporate,Office Supplies,Pen,6,48.69,5.64
75,2023-08-18,East,Consumer,Technology,Laptop,1,1425.43,-28.87
76,2024-09-28,West,Corporate,Furniture,Table,4,1010.8,126.94
77,2024-04-21,Central,Consumer,Technology,Keyboard,2,916.72,261.72
78,2023-06-17,East,Corporate,Office Supplies,Paper,7,872.18,229.57
79,2024-02-11,East,Home Office,Technology,Monitor,2,1042.11,157.25
80,2024-12-14,East,Corporate,Office Supplies,Paper,2,808.46,133.08
81,2024-06-02,East,Corporate,Technology,Keyboard,6,1237.05,-71.48
82,2024-10-12,South,Consumer,Office Supplies,Binder,5,1106.02,316.53
83,2024-09-22,South,Corporate,Technology,Mouse,6,1242.09,170.15
84,2023-09-09,South,Consumer,Furniture,Bookcase,7,1130.7,144.66
85,2023-12-11,Central,Consumer,Furniture,Filing Cabinet,5,741.57,31.09
86,2023-12-15,East,Home Office,Office Supplies,Pen,7,1423.13,-93.58
87,2024-05-15,South,Home Office,Technology,Monitor,1,1073.53,85.1
88,2023-04-06,South,Home Office,Office Supplies,Binder,6,380.09,62.94
89,2024-04-29,Central,Corporate,Technology,Printer,6,1495.01,179.63
90,2024-12-20,Central,Corporate,Office Supplies,Pen,6,361.2,68.09
91,2023-05-03,West,Consumer,Technology,Printer,10,340.25,31.87
92,2024-06-21,East,Consumer,Technology,Keyboard,5,458.44,20.33
93,2023-01-15,West,Corporate,Technology,Printer,5,87.36,-6.83
94,2024-12-15,East,Consumer,Furniture,Filing Cabinet,8,869.62,76.32
95,2023-12-15,Central,Corporate,Furniture,Chair,8,188.85,-13.95
96,2023-03-17,West,Consumer,Technology,Laptop,2,1220.49,341.31
97,2023-09-12,West,Home Office,Furniture,Filing Cabinet,5,582.96,153.55
98,2024-08-25,East,Home Office,Office Supplies,Pen,4,1440.96,-86.9
99,2024-10-02,East,Consumer,Furniture,Bookcase,3,375.0,45.3
100,2023-01-03,South,Corporate,Office Supplies,Storage Box,5,68.31,1.04
101,2024-12-20,West,Corporate,Office Supplies,Paper,4,1185.99,177.93
102,2024-03-11,West,Corporate,Furniture,Table,3,1243.41,-88.82
103,2023-11-11,Central,Corporate,Technology,Printer,7,204.04,35.8
104,2023-10-06,South,Corporate,Technology,Printer,7,139.05,-11.69
105,2023-11-27,East,Consumer,Technology,Keyboard,10,358.81,60.9
106,2024-08-24,East,Consumer,Furniture,Bookcase,5,716.34,115.05
107,2023-07-05,South,Consumer,Technology,Mouse,6,715.62,45.33
108,2024-11-17,Central,Corporate,Furniture,Table,7,1046.64,16.0
109,2024-07-17,East,Corporate,Furniture,Filing Cabinet,7,393.55,-21.11
110,2024-06-10,South,Consumer,Furniture,Filing Cabinet,8,297.62,13.31
111,2024-10-02,West,Corporate,Office Supplies,Paper,8,832.85,225.76
112,2024-12-16,East,Home Office,Office Supplies,Paper,3,921.13,-3.94
113,2023-11-15,South,Consumer,Technology,Laptop,2,352.56,83.4
114,2024-04-17,South,Home Office,Furniture,Table,7,451.96,82.33
115,2024-05-09,South,Home Office,Office Supplies,Binder,10,234.07,-5.56
116,2024-06-04,East,Corporate,Technology,Monitor,6,1163.56,281.31
117,2024-06-03,Central,Home Office,Office Supplies,Paper,8,461.86,62.25
118,2023-06-02,Central,Corporate,Office Supplies,Storage Box,8,836.84,98.22
119,2023-11-26,South,Consumer,Furniture,Table,6,1286.9,82.76
120,2024-04-29,South,Home Office,Technology,Mouse,3,1192.74,191.8
121,2024-05-22,Central,Consumer,Furniture,Table,9,1313.8,100.01
122,2024-04-12,South,Home Office,Furniture,Table,5,1455.54,-101.99
123,2023-12-13,East,Corporate,Technology,Mouse,7,1281.47,312.34
124,2023-11-21,East,Home Office,Technology,Mouse,5,121.26,18.49
125,2023-08-21,South,Consumer,Technology,Laptop,2,1145.35,207.95
126,2024-03-30,East,Consumer,Furniture,Bookcase,6,500.07,-38.78
127,2024-01-19,West,Home Office,Office Supplies,Binder,3,629.84,108.79
128,2023-06-24,South,Home Office,Furniture,Chair,10,1031.04,102.14
129,2023-05-27,Central,Corporate,Furniture,Filing Cabinet,8,397.88,-38.29
130,2023-10-22,West,Consumer,Technology,Printer,10,673.76,25.76
131,2023-11-03,Central,Corporate,Technology,Mouse,7,1271.05,-25.82
132,2024-05-09,South,Home Office,Furniture,Table,5,551.26,10.12
133,2023-01-23,Central,Consumer,Technology,Mouse,1,857.57,149.49
134,2024-09-12,Central,Consumer,Technology,Mouse,4,918.46,37.59
135,2024-09-27,East,Home Office,Office Supplies,Binder,8,976.58,23.02
136,2023-02-04,West,Consumer,Technology,Keyboard,7,1366.25,41.93
137,2023-06-29,Central,Home Office,Furniture,Table,3,762.66,6.87
138,2023-09-21,Central,Consumer,Office Supplies,Pen,4,713.13,-49.83
139,2024-11-23,Central,Consumer,Technology,Mouse,9,1190.21,-112.39
140,2023-05-07,Central,Home Office,Office Supplies,Pen,6,583.92,90.75
141,2023-04-21,South,Consumer,Technology,Monitor,6,936.93,259.78
142,2024-09-16,South,Home Office,Furniture,Chair,3,467.24,29.58
143,2023-02-16,South,Consumer,Furniture,Bookcase,3,163.84,41.76
144,2024-02-02,South,Home Office,Office Supplies,Pen,7,1118.56,-42.72
145,2024-11-01,South,Corporate,Furniture,Filing Cabinet,8,68.42,3.3
146,2024-03-31,East,Home Office,Furniture,Bookcase,6,563.66,146.93
147,2023-03-04,West,Consumer,Office Supplies,Pen,2,1424.54,327.18
148,2024-11-09,East,Corporate,Furniture,Chair,10,380.48,-18.88
149,2023-07-30,West,Consumer,Furniture,Table,10,506.27,-20.75
150,2023-01-03,West,Home Office,Office Supplies,Binder,1,390.97,-11.81
151,2023-05-15,West,Home Office,Furniture,Bookcase,1,499.18,-15.13
152,2023-05-10,East,Home Office,Technology,Mouse,6,114.07,9.05
153,2024-06-09,South,Home Office,Technology,Laptop,9,347.89,50.81
154,2023-11-05,East,Corporate,Office Supplies,Paper,2,1274.0,89.83
155,2024-05-17,East,Consumer,Technology,Mouse,3,496.73,-20.2
156,2023-10-09,Central,Corporate,Technology,Printer,8,1492.05,167.44
157,2024-06-01,East,Home Office,Technology,Mouse,9,189.33,30.65
158,2023-08-09,West,Corporate,Office Supplies,Storage Box,7,521.62,42.46
159,2023-04-08,Central,Home Office,Office Supplies,Storage Box,8,397.24,111.8
160,2023-03-10,East,Corporate,Furniture,Chair,3,162.92,31.85
161,2024-07-23,East,Corporate,Furniture,Bookcase,7,543.33,90.27
162,2023-02-22,Central,Consumer,Office Supplies,Pen,8,875.32,-13.05
163,2023-08-18,Central,Consumer,Furniture,Bookcase,7,1148.66,148.91
164,2024-07-28,East,Home Office,Technology,Printer,5,1395.04,323.35
165,2023-01-30,Central,Corporate,Furniture,Bookcase,3,539.51,-14.8
166,2024-08-02,East,Consumer,Technology,Mouse,2,1116.63,322.4
167,2024-06-27,South,Corporate,Furniture,Filing Cabinet,6,524.53,25.19
168,2024-08-04,East,Consumer,Technology,Laptop,2,252.97,37.22
169,2023-10-06,South,Home Office,Office Supplies,Storage Box,9,674.23,6.25
170,2023-04-27,East,Corporate,Office Supplies,Storage Box,9,1023.76,140.51
171,2024-11-14,West,Corporate,Office Supplies,Paper,4,1476.98,-115.33
172,2023-11-05,Central,Corporate,Furniture,Table,7,505.62,-49.0
173,2023-06-29,West,Home Office,Furniture,Filing Cabinet,6,846.91,141.62
174,2023-03-15,South,Consumer,Office Supplies,Paper,6,700.44,-48.23
175,2024-08-12,South,Corporate,Office Supplies,Storage Box,6,190.46,-17.46
176,2023-06-25,Central,Consumer,Technology,Mouse,7,666.33,-38.42
177,2024-08-26,South,Corporate,Office Supplies,Paper,3,1123.79,-12.78
178,2023-03-20,West,Corporate,Technology,Laptop,3,539.63,152.87
179,2023-08-30,Central,Consumer,Furniture,Table,2,276.78,-10.75
180,2023-07-01,South,Home Office,Technology,Mouse,10,1144.62,91.07
181,2024-10-20,Central,Home Office,Technology,Printer,8,487.89,37.03
182,2024-03-28,Central,Home Office,Technology,Keyboard,5,103.13,10.62
183,2024-04-17,East,Corporate,Office Supplies,Paper,2,1250.91,-86.7
184,2024-09-21,South,Corporate,Technology,Printer,1,878.89,247.58
185,2024-04-05,Central,Home Office,Technology,Monitor,1,723.93,-28.71
186,2024-04-06,East,Home Office,Furniture,Bookcase,8,976.27,-82.34
187,2024-03-25,West,Corporate,Technology,Printer,7,571.82,7.52
188,2023-12-13,East,Home Office,Technology,Printer,2,978.01,-72.02
189,2024-07-25,Central,Corporate,Technology,Mouse,10,1091.13,177.45
190,2023-06-03,West,Corporate,Office Supplies,Paper,7,479.14,77.82
191,2023-05-13,Central,Home Office,Technology,Laptop,3,577.49,125.12
192,2024-11-17,East,Home Office,Technology,Printer,1,1012.27,104.66
193,2024-01-07,West,Corporate,Office Supplies,Binder,4,1422.55,134.44
194,2023-05-21,Central,Consumer,Furniture,Chair,9,771.38,89.41
195,2023-02-08,West,Home Office,Technology,Keyboard,10,577.55,-20.27
196,2023-06-19,East,Corporate,Technology,Mouse,8,559.16,105.03
197,2024-09-17,West,Home Office,Office Supplies,Storage Box,8,373.97,107.04
198,2023-07-18,South,Corporate,Office Supplies,Storage Box,7,1171.62,118.52
199,2023-06-15,Central,Consumer,Furniture,Table,9,968.94,241.89
200,2023-04-16,East,Corporate,Technology,Printer,8,144.14,-5.17
201,2024-06-09,East,Consumer,Furniture,Filing Cabinet,1,1228.72,311.91
202,2024-02-29,Central,Consumer,Furniture,Filing Cabinet,4,591.53,-39.84
203,2023-01-29,Central,Consumer,Office Supplies,Paper,8,223.65,3.3
204,2024-12-13,South,Home Office,Furniture,Filing Cabinet,5,27.77,-1.9
205,2023-08-09,East,Corporate,Furniture,Filing Cabinet,4,371.71,-19.05
206,2024-03-05,South,Consumer,Technology,Printer,10,184.07,48.24
207,2024-07-02,West,Corporate,Furniture,Table,4,655.27,95.62
208,2024-08-07,East,Home Office,Office Supplies,Binder,9,1462.49,-106.66
209,2024-07-11,East,Corporate,Technology,Printer,7,1312.53,-108.4
210,2024-01-18,Central,Consumer,Office Supplies,Paper,2,530.31,102.44
211,2024-08-18,West,Consumer,Technology,Keyboard,3,541.4,19.18
212,2024-12-02,West,Consumer,Office Supplies,Storage Box,8,113.39,23.87
213,2023-02-07,East,Consumer,Office Supplies,Binder,5,1330.97,34.92
214,2024-06-11,Central,Consumer,Office Supplies,Storage Box,6,1134.87,-26.74
215,2023-02-18,Central,Consumer,Technology,Keyboard,7,1203.03,89.96
216,2024-03-26,West,Corporate,Office Supplies,Pen,9,1044.26,49.02
217,2023-10-01,East,Corporate,Furniture,Filing Cabinet,9,911.63,208.71
218,2023-10-28,East,Corporate,Office Supplies,Paper,10,998.16,22.56
219,2024-03-12,Central,Corporate,Furniture,Filing Cabinet,6,82.69,20.51
220,2024-09-21,East,Consumer,Office Supplies,Pen,9,1013.35,63.32
221,2024-11-26,West,Home Office,Furniture,Chair,3,1023.57,77.04
222,2023-03-10,Central,Corporate,Furniture,Bookcase,3,1425.21,-124.06
223,2024-11-26,Central,Corporate,Office Supplies,Pen,9,1149.37,148.92
224,2024-01-11,Central,Consumer,Office Supplies,Pen,3,1441.57,-129.21
225,2024-05-26,East,Corporate,Technology,Mouse,4,1166.95,211.94
226,2024-09-18,West,Consumer,Office Supplies,Storage Box,3,220.88,-15.55
227,2024-03-31,Central,Home Office,Furniture,Bookcase,5,116.11,13.57
228,2023-06-11,Central,Home Office,Technology,Monitor,3,351.88,103.47
229,2023-08-31,Central,Home Office,Office Supplies,Paper,9,866.97,75.39
230,2023-05-13,East,Corporate,Technology,Laptop,8,609.28,113.8
231,2024-06-22,East,Consumer,Office Supplies,Storage Box,8,1459.12,228.99
232,2024-04-22,Central,Consumer,Technology,Printer,10,1319.38,279.85
233,2023-07-06,East,Consumer,Furniture,Filing Cabinet,3,786.79,17.03
234,2023-11-27,Central,Home Office,Technology,Monitor,5,1344.49,320.49
235,2023-07-21,Central,Consumer,Technology,Printer,2,945.03,137.76
236,2024-05-29,West,Consumer,Technology,Monitor,10,994.92,187.3
237,2023-12-12,East,Consumer,Technology,Laptop,10,87.28,13.67
238,2023-09-29,South,Home Office,Technology,Monitor,9,965.71,95.81
239,2023-10-24,South,Consumer,Technology,Keyboard,5,1210.94,210.7
240,2024-04-09,West,Corporate,Furniture,Chair,6,635.12,54.48
241,2024-09-13,Central,Home Office,Furniture,Bookcase,7,1482.27,56.55
242,2023-05-14,Central,Consumer,Office Supplies,Paper,4,710.38,4.96
243,2023-05-25,Central,Corporate,Furniture,Chair,3,1298.96,87.36
244,2023-12-02,West,Consumer,Technology,Keyboard,8,757.43,80.2
245,2023-11-12,East,Corporate,Office Supplies,Paper,4,768.06,220.18
246,2024-08-20,East,Corporate,Office Supplies,Paper,8,752.44,190.32
247,2023-10-20,East,Corporate,Technology,Laptop,6,218.22,1.26
248,2024-02-17,South,Consumer,Office Supplies,Paper,9,864.02,-19.13
249,2023-10-23,South,Home Office,Furniture,Filing Cabinet,10,433.99,128.3
250,2023-05-02,South,Corporate,Furniture,Chair,6,1196.45,42.63
251,2023-05-28,East,Consumer,Furniture,Filing Cabinet,8,77.59,14.39
252,2024-06-15,West,Corporate,Office Supplies,Binder,7,1398.43,38.33
253,2024-09-23,Central,Home Office,Technology,Keyboard,10,1245.87,140.7
254,2023-11-03,Central,Corporate,Office Supplies,Paper,10,1017.23,296.99
255,2023-11-12,South,Corporate,Technology,Laptop,10,1451.26,309.35
256,2024-08-14,South,Consumer,Furniture,Chair,7,795.86,150.0
257,2023-06-01,East,Home Office,Technology,Monitor,1,1423.34,-79.77
258,2024-03-27,West,Corporate,Office Supplies,Storage Box,10,1041.94,66.84
259,2024-04-27,West,Home Office,Technology,Laptop,8,326.87,9.81
260,2024-06-22,West,Corporate,Office Supplies,Pen,6,1369.94,50.59
261,2024-11-23,South,Consumer,Technology,Keyboard,5,1436.86,16.67
262,2023-08-19,West,Home Office,Office Supplies,Pen,6,1063.38,28.52
263,2024-07-27,Central,Consumer,Technology,Keyboard,7,868.75,101.88
264,2023-12-20,East,Corporate,Furniture,Bookcase,8,1433.86,-98.06
265,2024-11-02,West,Consumer,Office Supplies,Storage Box,9,1245.37,10.53
266,2024-12-13,East,Home Office,Office Supplies,Binder,1,1116.52,-4.79
267,2024-11-16,West,Consumer,Technology,Monitor,8,168.29,5.41
268,2023-04-13,East,Home Office,Technology,Monitor,8,1467.31,-54.03
269,2024-05-03,Central,Corporate,Technology,Monitor,2,442.41,-33.77
270,2024-10-29,East,Consumer,Technology,Monitor,1,638.47,150.07
271,2024-02-11,Central,Consumer,Office Supplies,Binder,2,33.72,4.29
272,2023-12-10,South,Consumer,Office Supplies,Storage Box,4,1279.57,111.59
273,2023-04-26,South,Home Office,Office Supplies,Binder,6,400.75,-10.23
274,2023-10-30,West,Home Office,Technology,Monitor,7,1287.1,333.12
275,2024-06-11,South,Home Office,Office Supplies,Paper,8,161.17,47.17
276,2023-11-28,Central,Corporate,Furniture,Chair,6,368.57,74.27
277,2023-11-06,East,Corporate,Technology,Printer,1,987.45,174.88
278,2024-11-14,Central,Consumer,Furniture,Filing Cabinet,5,620.02,62.63
279,2024-12-07,Central,Home Office,Furniture,Bookcase,8,346.86,98.14
280,2023-06-06,South,Home Office,Office Supplies,Pen,9,832.87,73.57
281,2024-11-11,East,Home Office,Furniture,Table,2,681.19,123.64
282,2024-07-31,West,Home Office,Furniture,Chair,9,814.26,-27.84
283,2024-03-28,South,Consumer,Furniture,Table,1,1350.36,105.59
284,2024-04-09,South,Home Office,Furniture,Filing Cabinet,5,105.45,8.96
285,2023-01-23,East,Home Office,Office Supplies,Pen,7,342.49,-24.24
286,2023-12-19,East,Consumer,Technology,Laptop,5,1479.48,131.42
287,2024-02-23,South,Corporate,Furniture,Table,7,1489.43,78.93
288,2024-01-20,Central,Consumer,Furniture,Table,9,284.14,32.65
289,2023-05-11,East,Consumer,Technology,Monitor,9,1468.17,125.09
290,2024-03-10,West,Consumer,Technology,Mouse,4,701.73,-26.63
291,2023-04-26,East,Consumer,Furniture,Filing Cabinet,1,325.0,-19.38
292,2024-04-02,West,Home Office,Technology,Laptop,9,85.47,6.46
293,2023-08-11,Central,Consumer,Furniture,Table,6,1227.36,236.4
294,2024-08-14,West,Corporate,Technology,Keyboard,9,1316.86,387.52
295,2023-08-15,Central,Consumer,Office Supplies,Pen,3,843.94,115.34
296,2024-10-03,South,Consumer,Technology,Mouse,7,1458.99,403.61
297,2024-06-21,South,Consumer,Office Supplies,Storage Box,9,463.83,-12.27
298,2024-04-29,Central,Home Office,Furniture,Table,1,233.64,19.91
299,2024-07-29,West,Corporate,Office Supplies,Storage Box,2,379.43,-7.08
300,2024-04-05,West,Consumer,Office Supplies,Paper,10,417.32,70.72
301,2023-02-10,West,Corporate,Furniture,Table,5,329.16,86.51
302,2023-01-16,East,Home Office,Furniture,Table,4,1499.37,137.29
303,2024-12-13,South,Consumer,Technology,Monitor,7,837.08,175.96
304,2024-04-22,Central,Corporate,Technology,Keyboard,8,552.27,139.79
305,2023-04-11,Central,Consumer,Technology,Mouse,10,568.64,37.29
306,2023-08-15,East,Corporate,Technology,Monitor,7,838.9,112.09
307,2023-10-30,Central,Consumer,Furniture,Table,8,582.16,135.84
308,2024-07-17,Central,Corporate,Technology,Keyboard,8,1450.43,227.25
309,2024-04-16,West,Consumer,Furniture,Bookcase,9,1086.06,103.53
310,2024-10-19,East,Home Office,Furniture,Chair,3,91.8,-8.95
311,2024-10-07,West,Consumer,Furniture,Chair,1,343.71,28.32
312,2024-09-24,South,Home Office,Technology,Printer,9,742.02,-72.24
313,2024-02-26,Central,Home Office,Furniture,Chair,7,1466.67,-136.61
314,2023-07-03,West,Consumer,Furniture,Chair,6,304.06,33.62
315,2023-10-01,Central,Corporate,Office Supplies,Paper,4,699.32,-1.9
316,2023-11-04,East,Consumer,Technology,Laptop,8,619.81,31.53
317,2023-02-27,West,Consumer,Technology,Laptop,6,759.79,55.89
318,2024-08-02,West,Consumer,Furniture,Chair,10,1353.88,239.52
319,2024-05-01,East,Home Office,Office Supplies,Paper,10,1389.87,360.98
320,2024-11-04,Central,Consumer,Furniture,Table,7,1442.97,194.53
321,2023-03-20,West,Home Office,Office Supplies,Binder,9,1255.28,69.87
322,2023-12-06,East,Home Office,Office Supplies,Binder,2,1123.28,43.07
323,2024-03-23,Central,Home Office,Furniture,Chair,7,1158.13,326.53
324,2023-12-01,South,Corporate,Furniture,Bookcase,7,357.64,43.35
325,2024-03-18,East,Home Office,Furniture,Filing Cabinet,2,457.16,-0.65
326,2023-03-26,South,Home Office,Office Supplies,Binder,7,1180.16,-45.19
327,2023-11-21,East,Consumer,Office Supplies,Paper,5,1415.58,110.27
328,2023-04-15,West,Corporate,Furniture,Chair,7,684.29,83.41
329,2023-04-16,Central,Home Office,Furniture,Chair,6,157.74,21.96
330,2024-01-30,South,Corporate,Furniture,Bookcase,9,1173.17,222.83
331,2023-09-06,West,Home Office,Technology,Printer,5,583.48,-25.94
332,2023-10-02,East,Consumer,Office Supplies,Binder,8,663.32,45.4
333,2023-03-20,West,Home Office,Office Supplies,Pen,4,945.05,129.97
334,2024-04-13,Central,Consumer,Furniture,Table,10,1424.26,46.84
335,2024-01-25,Central,Corporate,Office Supplies,Storage Box,10,1226.9,299.12
336,2023-05-20,West,Corporate,Office Supplies,Pen,6,484.99,138.62
337,2023-10-26,West,Corporate,Technology,Mouse,7,576.56,130.65
338,2024-01-09,West,Home Office,Furniture,Table,8,1156.07,-103.16
339,2024-12-26,Central,Home Office,Furniture,Filing Cabinet,7,122.35,29.26
340,2024-11-20,Central,Consumer,Office Supplies,Binder,7,393.97,-15.11
341,2024-01-22,South,Home Office,Furniture,Filing Cabinet,7,613.19,62.94
342,2024-07-10,East,Consumer,Furniture,Bookcase,6,1158.05,188.81
343,2023-06-20,East,Home Office,Technology,Printer,7,1475.74,252.33
344,2023-12-06,East,Consumer,Office Supplies,Paper,9,402.93,42.01
345,2024-07-25,West,Corporate,Technology,Printer,10,573.7,48.89
346,2024-12-08,Central,Consumer,Technology,Monitor,2,734.5,13.35
347,2023-04-29,Central,Corporate,Technology,Monitor,9,527.74,112.78
348,2024-05-09,East,Corporate,Office Supplies,Storage Box,2,1088.55,88.15
349,2023-11-04,East,Corporate,Furniture,Chair,3,979.0,167.27
350,2023-09-07,West,Corporate,Technology,Monitor,4,848.58,240.47
351,2024-02-19,West,Home Office,Technology,Monitor,10,992.82,57.81
352,2023-07-22,South,Consumer,Office Supplies,Storage Box,2,1063.01,-18.8
353,2024-08-14,Central,Corporate,Furniture,Table,8,311.67,-16.96
354,2024-06-24,South,Home Office,Technology,Keyboard,6,600.97,-32.64
355,2024-04-13,Central,Home Office,Technology,Monitor,6,893.45,150.85
356,2023-05-01,East,Consumer,Furniture,Bookcase,7,572.49,-24.88
357,2024-03-04,South,Corporate,Technology,Monitor,3,294.92,45.48
358,2024-07-22,Central,Consumer,Furniture,Filing Cabinet,10,296.91,70.31
359,2023-02-24,South,Consumer,Office Supplies,Paper,9,308.79,16.54
360,2024-06-01,South,Home Office,Technology,Mouse,8,747.75,137.63
361,2024-05-15,East,Consumer,Furniture,Chair,9,452.29,4.5
362,2023-10-23,South,Home Office,Furniture,Filing Cabinet,5,775.99,100.17
363,2024-07-10,South,Home Office,Office Supplies,Paper,4,343.44,24.06
364,2023-11-01,Central,Corporate,Furniture,Filing Cabinet,2,1296.06,-84.51
365,2023-08-31,South,Consumer,Furniture,Bookcase,4,931.9,199.37
366,2023-03-02,Central,Home Office,Technology,Keyboard,5,817.38,24.08
367,2023-10-24,East,Consumer,Technology,Keyboard,1,1444.9,309.61
368,2023-10-11,West,Consumer,Technology,Monitor,4,236.44,6.82
369,2024-11-23,West,Home Office,Office Supplies,Storage Box,7,955.95,144.47
370,2024-04-07,South,Home Office,Furniture,Chair,6,1129.71,200.95
371,2024-04-10,East,Home Office,Office Supplies,Pen,6,157.85,45.6
372,2023-03-06,West,Corporate,Technology,Mouse,6,1240.77,121.45
373,2023-10-18,South,Corporate,Office Supplies,Binder,1,1343.35,275.25
374,2023-04-12,East,Consumer,Technology,Mouse,8,1395.56,-51.37
